id	symbol	name	promotion_symbol	promotion_id	sms_id	slow_walking	baseHP	basePow	baseSkl	baseSpd	baseDef	baseRes	baseCon	baseMov	maxHP	maxPow	maxSkl	maxSpd	maxDef	maxRes	maxCon	growthHP	growthPow	growthSkl	growthSpd	growthDef	growthRes	growthLck	growthCon	promotionHP	promotionPow	promotionSkl	promotionSpd	promotionDef	promotionRes	promotionCon	attributes	movement_cost_table
101	CLASS_DRACO_ZOMBIE	Draco Zombie	CLASS_WYVERN_RIDER	31	86	0	53	1	0	1	0	3	25	5	100	50	50	50	50	50	25	85	35	20	20	30	10		0	0	0	0	0	0	0	0	CA_PROMOTED | CA_LOCK_3	TerrainTable_MovCost_FlyNormal
102	CLASS_DEMON_KING	Demon King	CLASS_WYVERN_RIDER	31	87	0	120	23	20	18	25	25	25	2	120	50	50	50	50	50	25	95	40	30	20	20	20		0	0	0	0	0	0	0	0	CA_PROMOTED | CA_LOCK_3	TerrainTable_MovCost_DemonKing
103	CLASS_BLST_REGULAR_USED	Blst Regular Used		0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10		0	0	0	0	0	0	0	0		(void *)0x00000000
104	CLASS_BLST_LONG_USED	Blst Long Used		0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		(void *)0x00000000
105	CLASS_BLST_KILLER_USED	Blst Killer Used		0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		(void *)0x00000000
106	CLASS_BLST_REGULAR_EMPTY	Blst Regular Empty		0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		(void *)0x00000000
107	CLASS_BLST_LONG_EMPTY	Blst Long Empty		0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		(void *)0x00000000
108	CLASS_BLST_KILLER_EMPTY	Blst Killer Empty		0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		(void *)0x00000000
109	CLASS_CIVILIAN_M1	Civilian M1		0	94	0	8	1	0	0	0	0	4	5	60	20	20	20	20	20	20	10	0	0	0	0	10		0	0	0	0	0	0	0	0		TerrainTable_MovCost_CivilianNormal
110	CLASS_CIVILIAN_F1	Civilian F1		0	95	0	7	0	0	0	0	1	3	5	60	20	20	20	20	20	20	10	0	0	0	0	10		0	0	0	0	0	0	0	0		TerrainTable_MovCost_CivilianNormal
111	CLASS_CIVILIAN_M2	Civilian M2		0	96	0	10	0	1	0	0	2	6	5	60	20	20	20	20	20	20	10	0	0	0	0	10		0	0	0	0	0	0	0	0		TerrainTable_MovCost_CivilianNormal
112	CLASS_CIVILIAN_F2	Civilian F2		0	97	0	9	0	1	0	0	1	4	5	60	20	20	20	20	20	20	10	0	0	0	0	10		0	0	0	0	0	0	0	0		TerrainTable_MovCost_CivilianNormal
113	CLASS_CIVILIAN_M3	Civilian M3		0	96	0	12	3	0	0	2	0	7	5	60	20	20	20	20	20	20	10	0	0	0	0	10		0	0	0	0	0	0	0	0		TerrainTable_MovCost_CivilianNormal
114	CLASS_CIVILIAN_F3	Civilian F3		0	97	0	10	0	1	0	1	1	5	5	60	20	20	20	20	20	20	10	0	0	0	0	10		0	0	0	0	0	0	0	0		TerrainTable_MovCost_CivilianNormal
115	CLASS_PEER	Peer		0	98	0	10	0	0	0	0	0	8	5	60	20	20	20	20	20	20	10	0	0	0	0	10		0	0	0	0	0	0	0	0		TerrainTable_MovCost_CivilianNormal
116	CLASS_QUEEN	Queen		0	99	0	10	0	0	0	0	0	5	5	60	20	20	20	20	20	20	10	0	0	0	0	10		0	0	0	0	0	0	0	0		TerrainTable_MovCost_CivilianNormal
117	CLASS_PRINCE	Prince		0	100	0	10	0	0	0	0	0	7	5	60	20	20	20	20	20	20	10	0	0	0	0	10		0	0	0	0	0	0	0	0		TerrainTable_MovCost_CivilianNormal
118	CLASS_QUEEN_2	Queen 2		0	101	0	10	0	0	0	0	0	6	5	60	20	20	20	20	20	20	10	0	0	0	0	10		0	0	0	0	0	0	0	0		TerrainTable_MovCost_CivilianNormal
119	CLASS_UNK77	Unk77		0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		(void *)0x00000000
120	CLASS_FALLEN_PRINCE	Fallen Prince		0	103	0	10	0	0	0	0	0	25	5	60	20	20	20	20	20	20	10	0	0	0	0	10		0	0	0	0	0	0	0	0		TerrainTable_MovCost_CivilianNormal
121	CLASS_TENT	Tent		0	104	0	15	0	3	3	3	0	25	0	60	20	20	20	20	20	25	10	0	0	0	0	10		0	0	0	0	0	0	0	0	CA_SUPPLY | CA_UNSELECTABLE	TerrainTable_MovCost_CivilianNormal
122	CLASS_PONTIFEX	Pontifex		0	105	0	10	0	0	0	0	0	8	5	60	20	20	20	20	20	20	10	0	0	0	0	10		0	0	0	0	0	0	0	0		TerrainTable_MovCost_CivilianNormal
123	CLASS_FALLEN_PEER	Fallen Peer		0	106	0	10	0	0	0	0	0	25	5	60	20	20	20	20	20	20	10	0	0	0	0	10		0	0	0	0	0	0	0	0		TerrainTable_MovCost_CivilianNormal
124	CLASS_CYCLOPS_2	Cyclops 2	CLASS_ARMOR_KNIGHT	9	75	0	40	8	5	6	13	0	16	5	80	29	29	28	30	25	25	95	30	35	25	24	25		0	0	0	0	0	0	0	0	CA_PROMOTED	TerrainTable_MovCost_FighterNormal
125	CLASS_ELDER_BAEL_2	Elder Bael 2	CLASS_BAEL	88	74	0	36	8	5	5	9	4	15	6	80	30	28	26	26	22	25	85	45	25	20	21	17		0	0	0	0	0	0	0	0	CA_PROMOTED | CA_LOCK_3	TerrainTable_MovCost_BrigandNormal
126	CLASS_JOURNEYMAN_T1	Journeyman T1	CLASS_JOURNEYMAN_T2	56	45	0	20	5	3	4	2	1	8	5	60	20	20	20	20	20	20	85	55	40	32	18	20		0	0	0	2	0	2	2	0		TerrainTable_MovCost_FighterNormal
127	CLASS_PUPIL_T1	Pupil T1	CLASS_PUPIL_T2	57	46	0	17	2	3	3	3	3	5	5	60	20	20	20	20	20	20	55	55	40	35	10	30		0	0	1	1	0	2	2	0		TerrainTable_MovCost_MagicNormal
